"ID","Nombre","Zona","Tipo","Impactos/día","Precio/sem","Estado"
"sc-01","Sarmiento y 9 de Julio","Centro","Peatonal","14200","95000","Activo"
"sc-02","Palmares Open Mall","Palmares","Mixto","22500","145000","Activo"
"sc-03","Las Heras y Mitre","Las Heras","Peatonal","8800","68000","Activo"
"sc-04","Av. Aristides frente al Parque","Ciudad","Vehicular","31000","185000","Pausado"
"sc-05","Guaymallén Centro","Guaymallén","Peatonal","11400","78000","Activo"
"sc-06","Maipú Ruta 7","Maipú","Vehicular","19600","112000","Activo"
"sc-07","Villanueva Gomensoro","Las Heras","Mixto","9300","72000","Activo"
"sc-08","Godoy Cruz Belgrano","Godoy Cruz","Vehicular","25800","155000","Activo"
"sc-09","Chacras de Coria Acceso","Luján","Vehicular","16700","125000","Activo"
"sc-10","Terminal de Ómnibus","Centro","Peatonal","18400","118000","Activo"
